"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR005","DHMR006","DHMR007","DHMR008"
"0610005C13Rik",1,4,11,6,4,2,6,9
"0610007P14Rik",668,1487,1491,1352,1576,662,1351,1409
"0610009B22Rik",493,908,1023,1002,1077,513,961,1099
"0610009L18Rik",12,29,37,34,41,18,37,44
"0610009O20Rik",820,1380,1526,1462,1467,753,1331,1411
"0610010F05Rik",425,1150,686,879,843,566,1418,871
"0610010K14Rik",649,1065,1172,1183,1212,512,931,1083
"0610011F06Rik",223,422,497,428,432,237,399,441
"0610012G03Rik",214,452,440,409,471,223,334,422
"0610030E20Rik",486,965,1113,1126,1074,537,1264,1275
"0610037L13Rik",611,1151,1350,1241,1271,610,1147,1381
"0610038B21Rik",6,6,10,11,10,4,3,11
"0610039K10Rik",3,1,0,2,1,1,2,2
"0610040B10Rik",15,17,31,24,19,14,15,29
"0610040F04Rik",1,1,0,1,1,0,0,0
"0610040J01Rik",0,3,1,0,1,0,2,0
"0610043K17Rik",1,2,0,2,2,2,2,0
"1010001N08Rik",2,3,0,2,2,1,1,1
"1110001J03Rik",89,136,169,171,164,77,104,173
"1110002L01Rik",48,76,69,89,74,56,68,79
"1110004E09Rik",346,615,869,720,820,386,671,783
"1110004F10Rik",1761,2944,3672,3431,3383,1834,2979,3467
"1110006O24Rik",3,8,11,9,16,4,12,11
"1110007C09Rik",696,1535,1462,1293,1896,679,1197,1350
"1110008F13Rik",773,1219,1392,1262,1456,797,1143,1361
"1110008L16Rik",387,730,692,730,728,336,713,703
"1110008P14Rik",406,830,913,751,864,445,761,803
"1110012L19Rik",450,881,1156,918,1156,436,811,1031
"1110017D15Rik",1,4,2,4,9,2,3,6
"1110019D14Rik",78,112,88,127,92,57,128,97
"1110020A21Rik",4,18,20,7,15,8,16,13
"1110032A03Rik",165,305,368,316,341,147,289,327
"1110034G24Rik",82,168,163,150,184,75,136,163
"1110037F02Rik",1802,3832,3273,3838,3478,1890,4270,3617
"1110038B12Rik",960,1973,2108,1841,2845,1026,1734,1923
"1110038F14Rik",605,1063,1143,1118,1184,591,943,1152
"1110046J04Rik",130,218,213,203,239,105,151,208
"1110051M20Rik",889,1663,1737,1653,1617,847,1456,1635
"1110059E24Rik",703,1177,1275,1390,1308,619,1253,1315
"1110059G10Rik",277,674,552,688,683,384,766,719
"1110065P20Rik",227,315,379,356,340,248,308,361
"1190002F15Rik",69,95,111,119,81,55,98,118
"1190002N15Rik",2748,7115,5122,6898,4981,3188,8564,6832
"1190005I06Rik",9,3,2,7,4,3,4,11
"1190007I07Rik",51,71,72,76,74,45,81,81
"1200014J11Rik",1045,1881,1931,2130,1940,1026,2111,2070
"1300002E11Rik",111,222,248,242,290,144,258,250
"1300017J02Rik",0,3,2,2,3,1,3,3
"1500004A13Rik",32,86,78,94,92,53,117,108
"1500009C09Rik",0,1,1,0,1,0,0,0
"1500009L16Rik",12,27,27,20,18,8,30,18
