"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group_safe",0.965991407176158,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02055648137257,0.0293560286628547
"0610007P14Rik","Group_safe",0.940018617416317,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994938152302738,-0.00732124776310034
"0610009B22Rik","Group_safe",0.248096367039675,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.935222691112061,-0.0966181607858624
"0610009L18Rik","Group_safe",0.197763517614926,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.790278801127407,-0.339566385843927
"0610009O20Rik","Group_safe",0.406594196679163,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.04389156648781,0.0619718607441082
"0610010F05Rik","Group_safe",0.203593471135689,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.831428658078186,-0.266335618569622
"0610010K14Rik","Group_safe",0.201141233384583,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09990241132581,0.137375526530002
"0610011F06Rik","Group_safe",0.709678538130812,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02627178216895,0.037412842898207
"0610012G03Rik","Group_safe",0.720925026959193,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.03120053018136,0.0443249105595043
"0610030E20Rik","Group_safe",0.12493421496875,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.885321822125135,-0.175726112248986
"0610037L13Rik","Group_safe",0.796238504598147,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.983190620784058,-0.0244569418017557
"0610038B21Rik","Group_safe",0.651031096308182,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.19021553432153,0.251222852642766
"0610039K10Rik","Group_safe",0.896261245775431,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.11308897043717,0.154568913505105
"0610040B10Rik","Group_safe",0.644497785878695,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.12073890527719,0.1644502175409
"0610040F04Rik","Group_safe",0.49975376036822,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",2.55369139906865,1.35258419303855
"0610040J01Rik","Group_safe",0.845264773615392,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.28522793164897,0.362024240118641
"0610043K17Rik","Group_safe",0.784165845374466,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.786187805092073,-0.347054109234793
"1010001N08Rik","Group_safe",0.654566165286841,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.43809206822184,0.524156041643094
"1110001J03Rik","Group_safe",0.503211505885094,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09078696489164,0.125369364993103
"1110002L01Rik","Group_safe",0.989959441954745,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.998225381069928,-0.00256250834088773
"1110004E09Rik","Group_safe",0.548533803536644,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.947148184130179,-0.0783379376358706
"1110004F10Rik","Group_safe",0.988334171355829,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00096372781244,0.00138969579903092
"1110006O24Rik","Group_safe",0.32267588300435,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.719307547423404,-0.475319353046993
"1110007C09Rik","Group_safe",0.798821126460993,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.973373856996878,-0.0389340678438359
"1110008F13Rik","Group_safe",0.714856995341397,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.970965806192836,-0.0425076047059705
"1110008L16Rik","Group_safe",0.634211472413409,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.02645978700273,0.037677108958312
"1110008P14Rik","Group_safe",0.930113441867501,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.994231204769049,-0.00834671071861734
"1110012L19Rik","Group_safe",0.924980070081024,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.990140346307503,-0.014295062047404
"1110017D15Rik","Group_safe",0.256961660251791,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.548346632753046,-0.866839925683094
"1110019D14Rik","Group_safe",0.508526993344348,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.09968837252968,0.137094753658086
"1110020A21Rik","Group_safe",0.765066721170031,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.909333600038894,-0.137118433219702
"1110032A03Rik","Group_safe",0.597566571394259,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.0444168966201,0.0626977029327144
"1110034G24Rik","Group_safe",0.937864639699034,0.999975312633241,"DMSO","DESeq2","DMSO vs DMSO.LIPUS",1.00793218057938,0.0113985693602086
"1110037F02Rik","Group_safe",0.502346515165528,0.999975312633241,"DMSO.LIPUS","DESeq2","DMSO vs DMSO.LIPUS",0.95452698139627,-0.0671421163504124
