"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"J_XYL_F_0001_01",-0.0771886188056313,0.0422227194513806,0.00305408787800568,44.02
"J_XYL_F_0001_02",-0.206623177475274,0.107317987759562,0.00549385556086326,31.12
"J_XYL_F_0002_01",-0.0134645820045602,-0.00546751709420565,-0.00705602287593642,24.86
"J_XYL_F_0002_02",-0.0171168793968975,-0.0133104436709225,-0.0540089742783784,44.02
"J_XYL_F_0003_01",-0.00966890781706396,-0.00216234124323984,-0.025952717936283,31.12
"J_XYL_F_0003_02",-0.0294977775703296,-0.0463888972371944,-0.421039085438495,24.86
"J_XYL_F_0004_01",-0.0124105223767096,-0.0224493383845745,-0.00488661960372027,44.02
"J_XYL_F_0004_02",-0.0330662908947074,-0.0364604487634548,-0.000352498492373101,31.12
"J_XYL_F_0005_01",-0.00823725134624486,0.000324478892866244,-0.0149085022460454,24.86
"J_XYL_F_0005_02",-0.0285545237853014,0.00355186876583849,-0.0209307829244361,44.02
"J_XYL_F_0006_01",-0.0087078983727372,0.0007313880486922,-0.00651915425235144,31.12
"J_XYL_F_0006_02",-0.011840314825206,0.00155066641717627,-0.0243679583927868,24.86
"J_XYL_F_0010_01",-0.0110902920570632,-7.75602217820961e-05,-0.0174733269886312,44.02
"J_XYL_F_0010_02",-0.0162860548019326,-0.00277669713218345,-0.0187889511580665,31.12
"J_XYL_F_0012_01",-0.0377784073763185,-0.0459451128927907,-0.410750102702597,24.86
"J_XYL_F_0012_02",-0.0243352749498439,-0.0344727647236004,-0.351901750996698,44.02
"J_XYL_F_0013_01",-0.0263006390154559,0.0098001756318955,-0.0160775366025893,31.12
"J_XYL_F_0013_02",-0.0498644852199785,0.0206146648672116,-0.00726257617253954,24.86
"J_XYL_F_0015_01",-0.0693002275990999,0.0272423158124158,-0.00627230973334662,44.02
"J_XYL_F_0015_02",-0.0225486454242009,0.00619157819780082,-0.04097228130686,31.12
"J_XYL_F_0016_01",-0.0734156834375616,0.020583909715785,-0.0223875419084708,24.86
"J_XYL_F_0016_02",-0.0364111934389246,0.0171779294813665,-0.00781048850394993,44.02
"J_XYL_F_0018_01",-0.026108333966467,-0.0261926400116342,-0.0149012691640578,31.12
"J_XYL_F_0018_02",-0.00548126916386153,0.00158455957710292,-0.00321157353790488,24.86
"J_XYL_F_0020_01",-0.015390075148319,-0.0413104356232688,-0.00579541313575253,44.02
"J_XYL_F_0020_02",-0.0209055537833964,-0.00156816794669726,-0.00540092000186578,31.12
"J_XYL_F_0025_01",-0.0164868232249356,0.000641465263034658,-0.0098032351343787,24.86
"J_XYL_F_0025_02",-0.0610307846330111,0.0225731709326988,-0.00710649147742536,44.02
"J_XYL_F_0031_01",-0.0563296170310177,-0.131702810765686,0.0161120406772803,31.12
"J_XYL_F_0031_02",-0.0424334417745055,-0.0753796051340869,0.0116273189356321,24.86
"J_XYL_F_0032_01",-0.0179800123049025,-0.00429334212131301,-0.00508462937736612,44.02
"J_XYL_F_0032_02",-0.0262323671551182,-0.0268556781742435,-0.0012399111692948,31.12
"J_XYL_F_0034_01",-0.0576111247965082,-0.017425530782636,0.000966769464589845,24.86
"J_XYL_F_0034_02",-0.181572749923345,0.0874354768502722,0.00581746226844866,44.02
"J_XYL_F_0036_01",-0.0458651245367107,0.0208574368508474,-0.00993908641999167,31.12
"J_XYL_F_0036_02",-0.00998166636498132,0.00111238430828989,-0.00660070571107845,24.86
"J_XYL_F_0043_01",-0.0410976453516825,-0.0715787906468791,0.00491424731872059,44.02
"J_XYL_F_0043_2",-0.0111693171960582,0.00100340190642824,-0.00916219669754933,31.12
"J_XYL_F_0044_01",-0.0561997117468783,0.0284806531670686,-0.000741207022019248,24.86
